No,Category,Guideline,Description,Do,Don't,Code Good,Code Bad,Severity,Docs URL
1,HTMX,Use hx-get for partial loads,Load page fragments without full page reload,hx-get on links and buttons for partial content,Full page navigations for small updates,<a hx-get="/Products?handler=List" hx-target="#results">Load</a>,<a href="/Products">Load</a> for partial update,Medium,https://htmx.org/attributes/hx-get/
2,HTMX,Use hx-post for form submissions,Submit forms via AJAX and swap the response,hx-post on forms to submit without redirect,Traditional form post when partial update suffices,<form hx-post="/Contact" hx-target="#form-container">,<form method="post"> for every submission,Medium,https://htmx.org/attributes/hx-post/
3,HTMX,Choose the right hx-swap strategy,Control how response content replaces the target,innerHTML for updating contents outerHTML for replacing element,Default innerHTML when you need to replace the whole element,hx-swap="outerHTML",hx-swap="innerHTML" when replacing element,Medium,https://htmx.org/attributes/hx-swap/
4,HTMX,Debounce hx-trigger on inputs,Prevent excessive requests during typing,hx-trigger="keyup changed delay:300ms" on search inputs,No delay on keyup triggers,hx-trigger="keyup changed delay:300ms",hx-trigger="keyup",High,https://htmx.org/attributes/hx-trigger/
5,HTMX,Show loading indicators with hx-indicator,Provide visual feedback during HTMX requests,hx-indicator pointing to a spinner element,No loading feedback on slow requests,hx-indicator="#spinner",No hx-indicator on slow endpoints,High,https://htmx.org/attributes/hx-indicator/
6,HTMX,Use hx-boost for progressive enhancement,Automatically convert links and forms to AJAX,hx-boost="true" on body or nav for seamless transitions,hx-boost on elements that need full page loads,<body hx-boost="true">,Manual hx-get on every link,Medium,https://htmx.org/attributes/hx-boost/
7,HTMX,Use Out-of-Band swaps for multiple updates,Update multiple page regions from one response,hx-swap-oob="true" on extra elements in response,Multiple sequential HTMX requests for related updates,<div id="cart-count" hx-swap-oob="true">3</div>,Separate request per region update,Medium,https://htmx.org/attributes/hx-swap-oob/
8,HTMX,Confirm destructive actions with hx-confirm,Prompt user before delete or irreversible operations,hx-confirm on delete buttons,No confirmation on destructive actions,hx-confirm="Delete this item?",hx-delete without confirmation,High,https://htmx.org/attributes/hx-confirm/
9,HTMX,Use hx-push-url for browser history,Update URL when HTMX loads meaningful content,hx-push-url="true" on navigational content loads,Push URL for every minor swap,hx-push-url="true" on tab content,hx-push-url on inline edits,Medium,https://htmx.org/attributes/hx-push-url/
10,HTMX,Use hx-select to pick response fragments,Extract specific elements from a full page response,hx-select to grab a fragment from a full response,Return full pages and rely on client to parse,hx-select="#product-list",Parse full page HTML client-side,Low,https://htmx.org/attributes/hx-select/
11,Forms,Include anti-forgery tokens with HTMX,ASP.NET Core requires anti-forgery tokens for POST requests,Add RequestVerificationToken header via hx-headers or meta tag,Skip anti-forgery for HTMX posts,"hx-headers='{""RequestVerificationToken"": ""...""}'",hx-post without anti-forgery token,High,https://learn.microsoft.com/aspnet/core/security/anti-request-forgery
12,Forms,Use Tag Helper forms,Tag Helpers generate correct action URLs and anti-forgery tokens,<form asp-page="/Contact" method="post">,Manual form action URLs,<form asp-page="/Contact" method="post">,<form action="/Contact" method="post">,Medium,https://learn.microsoft.com/aspnet/core/mvc/views/working-with-forms
13,Forms,Bind form inputs to PageModel properties,Model binding maps form fields to [BindProperty] properties,BindProperty attribute on PageModel properties,Manual Request.Form access,[BindProperty] public string Email { get; set; },Request.Form["Email"],Medium,https://learn.microsoft.com/aspnet/core/razor-pages/#writing-a-basic-form
14,Forms,Use Post-Redirect-Get pattern,Prevent duplicate form submissions on refresh,Redirect after successful POST,Returning a page directly from OnPost,return RedirectToPage("./Success"),return Page() after successful POST,High,https://learn.microsoft.com/aspnet/core/tutorials/razor-pages/razor-pages-start
15,Forms,Validate inline with HTMX,Validate individual fields as user types,hx-get to a validation handler on blur,Only validate on full form submit,hx-get="/Register?handler=ValidateEmail" hx-trigger="blur",Validate all fields only on submit,Medium,
16,Forms,Enable client-side validation,Use jQuery Validation Unobtrusive for immediate feedback,Include jquery.validate.unobtrusive.js,Server-only validation with full round trips,<script src="~/lib/jquery-validation-unobtrusive/..."></script>,No client-side validation,Medium,https://learn.microsoft.com/aspnet/core/mvc/models/validation#client-side-validation
17,Forms,Style validation messages consistently,Use validation Tag Helpers with consistent CSS classes,asp-validation-for with styled spans,Unstyled or missing validation messages,<span asp-validation-for="Email" class="text-danger"></span>,<span>Error</span> without Tag Helper,Medium,https://learn.microsoft.com/aspnet/core/mvc/views/working-with-forms#the-validation-message-tag-helper
18,Layout & Partials,Use _Layout for consistent structure,Shared layout provides header footer and common assets,_Layout.cshtml for site-wide chrome,Duplicating header/footer in every page,@{ Layout = "_Layout"; },Copy-paste nav in each page,High,https://learn.microsoft.com/aspnet/core/razor-pages/ui-class#create-an-rcl-with-static-assets
19,Layout & Partials,Extract reusable Partial Views,Shared UI fragments reduce duplication,Partial views for repeated card or list item markup,Duplicating markup across pages,<partial name="_ProductCard" model="item" />,Copy-paste card HTML in each page,Medium,https://learn.microsoft.com/aspnet/core/mvc/views/partial
20,Layout & Partials,Use ViewComponents for complex fragments,ViewComponents encapsulate logic and rendering,ViewComponent for fragments needing data access or logic,Partial views with complex logic in the page,<vc:shopping-cart />,Partial with service injection,Medium,https://learn.microsoft.com/aspnet/core/mvc/views/view-components
21,Layout & Partials,Return Partial for HTMX requests,Return just the partial HTML for HTMX without layout,return Partial("_ItemList" items) for HTMX handlers,Return full Page() for HTMX requests,return Partial("_Results" Model.Results),return Page() for hx-get response,High,
22,Layout & Partials,Use _ViewImports for shared directives,Centralize @using @addTagHelper directives,_ViewImports.cshtml for shared namespaces and Tag Helpers,Repeating @using in every page,@addTagHelper * Microsoft.AspNetCore.Mvc.TagHelpers,@addTagHelper in every .cshtml file,Medium,https://learn.microsoft.com/aspnet/core/mvc/views/layout#importing-shared-directives
23,Layout & Partials,Use _ViewStart for default layout,Set the default layout in _ViewStart.cshtml,_ViewStart.cshtml with Layout assignment,Setting Layout in every page,@{ Layout = "_Layout"; } in _ViewStart,Layout = "_Layout" in each page,Low,https://learn.microsoft.com/aspnet/core/mvc/views/layout#running-code-before-each-view
24,Layout & Partials,Use Display Templates for consistent formatting,Display templates standardize how types are rendered,DisplayTemplates for dates currencies addresses,Inline formatting logic in every page,@Html.DisplayFor(m => m.CreatedDate),@Model.CreatedDate.ToString("MMM dd yyyy") everywhere,Low,https://learn.microsoft.com/aspnet/core/mvc/views/display-templates
25,Tag Helpers,Use anchor Tag Helper for page links,asp-page generates correct URLs automatically,asp-page and asp-route-* for links,Hardcoded href paths,<a asp-page="/Products/Details" asp-route-id="5">View</a>,<a href="/Products/Details?id=5">View</a>,Medium,https://learn.microsoft.com/aspnet/core/mvc/views/tag-helpers/built-in/anchor-tag-helper
26,Tag Helpers,Cache-bust static assets,Append file version hash to prevent stale cached assets,asp-append-version="true" on images and scripts,Static file references without versioning,<img src="~/img/logo.png" asp-append-version="true" />,<img src="~/img/logo.png" />,High,https://learn.microsoft.com/aspnet/core/mvc/views/tag-helpers/built-in/image-tag-helper
27,Tag Helpers,Use environment Tag Helper,Conditionally include assets based on environment,<environment include="Development"> for dev-only scripts,Same asset bundles in development and production,<environment include="Production"><link href="site.min.css" /></environment>,Same CSS bundle in dev and prod,Medium,https://learn.microsoft.com/aspnet/core/mvc/views/tag-helpers/built-in/environment-tag-helper
28,Tag Helpers,Use label and input Tag Helpers,Tag Helpers generate accessible labels and correct input types,asp-for on label and input elements,Manual for/id matching and input types,<label asp-for="Email"></label><input asp-for="Email" />,<label for="email">Email</label><input id="email" />,Medium,https://learn.microsoft.com/aspnet/core/mvc/views/working-with-forms#the-input-tag-helper
29,Tag Helpers,Create custom Tag Helpers for repeated patterns,Encapsulate repeated HTML patterns in custom Tag Helpers,Custom Tag Helper for alert boxes or card components,Copy-paste complex HTML patterns,[HtmlTargetElement("alert")] public class AlertTagHelper,Copy-paste <div class="alert alert-..."> everywhere,Low,https://learn.microsoft.com/aspnet/core/mvc/views/tag-helpers/authoring
30,Styling,Use CSS classes not inline styles,Maintain separation of concerns with external classes,CSS classes for all styling,Inline style attributes,<div class="card card--featured">,<div style="border: 1px solid #ccc; padding: 16px;">,Medium,
31,Styling,Use responsive utility classes,Ensure layouts adapt across screen sizes,Responsive classes or media queries for breakpoints,Fixed-width layouts,@media (min-width: 768px) { .grid { columns: 3; } },<div style="width: 960px;">,Medium,
32,Styling,Use CSS custom properties for theming,CSS variables enable consistent theming and easy updates,CSS custom properties for colors spacing typography,Hardcoded values repeated throughout,:root { --color-primary: #2563eb; },color: #2563eb repeated in many rules,Medium,https://developer.mozilla.org/docs/Web/CSS/--*
33,Styling,Bundle and minify CSS and JS,Reduce payload size in production,Use bundling and minification in production,Serving unminified assets in production,<link href="site.min.css" rel="stylesheet" />,<link href="site.css" /> in production,High,https://learn.microsoft.com/aspnet/core/client-side/bundling-and-minification
34,Styling,Use BEM or scoped naming conventions,Prevent CSS class name collisions,BEM naming or CSS modules for scoped styles,Generic class names that collide,.product-card__title { },.title { } in global scope,Medium,
35,Page Model,Use OnGet for page initialization,Load data in OnGet and populate the model,OnGet/OnGetAsync for data retrieval and page setup,Data fetching in the Razor view,public async Task OnGetAsync() { Items = await _db.GetItems(); },@{ var items = db.GetItems(); } in .cshtml,High,https://learn.microsoft.com/aspnet/core/razor-pages/#handler-methods
36,Page Model,Use named handlers for multiple actions,Named handlers allow multiple POST actions per page,asp-page-handler for distinct form actions,Single OnPost handling multiple unrelated actions,<button asp-page-handler="Archive">Archive</button>,if/else in OnPost to dispatch actions,Medium,https://learn.microsoft.com/aspnet/core/razor-pages/handler-methods
37,Page Model,Return appropriate IActionResult types,Different results for different scenarios,RedirectToPage for PRG and Partial for HTMX,Always returning Page(),return RedirectToPage("./Index") or return Partial(...),return Page() for everything,Medium,https://learn.microsoft.com/aspnet/core/razor-pages/#handler-methods
38,Page Model,Use TempData for flash messages,TempData persists data across a redirect for one request,TempData["Success"] for post-redirect-get messages,ViewData that disappears on redirect,TempData["Message"] = "Item saved",ViewData["Message"] lost on redirect,Medium,https://learn.microsoft.com/aspnet/core/fundamentals/app-state#tempdata
39,Navigation,Use page-based routing conventions,Razor Pages uses file-based routing by convention,Organize pages by feature in the Pages folder,Custom route overrides for every page,/Pages/Products/Index.cshtml maps to /Products,Custom route templates everywhere,Medium,https://learn.microsoft.com/aspnet/core/razor-pages/razor-pages-conventions
40,Navigation,Use asp-page for internal links,Tag Helper generates correct URLs from page paths,<a asp-page="/Products/Index">Products</a>,Hardcoded URL strings,<a asp-page="/Products/Details" asp-route-id="@item.Id">,<a href="/Products/Details/@item.Id">,Medium,https://learn.microsoft.com/aspnet/core/mvc/views/tag-helpers/built-in/anchor-tag-helper
41,Navigation,Highlight active navigation items,Indicate the current page in navigation,Compare ViewContext.RouteData to set active class,No active state on current nav item,"<a class=""@(isActive ? ""active"" : """")"" asp-page=""/Products"">",<a asp-page="/Products"> without active state,Medium,
42,Navigation,Use Areas for large applications,Areas group related pages into separate sections,Areas for admin dashboard or API sections,Flat Pages folder with 100+ pages,/Areas/Admin/Pages/Dashboard.cshtml,/Pages/AdminDashboard.cshtml in flat folder,Low,https://learn.microsoft.com/aspnet/core/mvc/controllers/areas
43,Progressive Enhancement,Ensure forms work without JavaScript,Forms must submit and function without HTMX or JS,Standard form post as baseline behavior,HTMX-only forms that break without JS,<form method="post"> works without JS,Form only works with hx-post,High,
44,Progressive Enhancement,Layer hx-boost as progressive enhancement,Add hx-boost on top of working server-rendered pages,hx-boost upgrades standard navigation to AJAX,Build HTMX-first without server-rendered fallback,<nav hx-boost="true"> over working links,HTMX-only navigation with no fallback,High,https://htmx.org/attributes/hx-boost/
45,Progressive Enhancement,Provide noscript fallback content,Show alternative content when JavaScript is disabled,<noscript> blocks for critical JS-dependent features,Blank page or broken UI without JS,<noscript><p>Enable JavaScript for live search</p></noscript>,No noscript and broken search without JS,Medium,
46,Error Handling,Configure status code pages,Show friendly error pages for 404 and 500 errors,UseStatusCodePagesWithReExecute for error pages,Default developer exception page in production,app.UseStatusCodePagesWithReExecute("/Error/{0}"),app.UseDeveloperExceptionPage() in production,High,https://learn.microsoft.com/aspnet/core/fundamentals/error-handling
47,Error Handling,Display ModelState errors in UI,Show validation errors near the relevant form fields,asp-validation-summary and asp-validation-for,Silent validation failures with no user feedback,<div asp-validation-summary="All"></div>,No error display after failed validation,High,https://learn.microsoft.com/aspnet/core/mvc/models/validation
48,Performance,Use Response Caching for static content,Cache full page responses for content that rarely changes,ResponseCache attribute on read-only pages,[ResponseCache(Duration = 60)] for stable content,[ResponseCache(Duration = 300)],No caching on stable read-only pages,Medium,https://learn.microsoft.com/aspnet/core/performance/caching/response
49,Performance,Use Output Caching for HTMX partials,Cache rendered partial responses to reduce server load,OutputCache on handlers returning partials for lists,Regenerate the same partial on every request,[OutputCache(Duration = 30)] on partial handler,No caching on frequently requested partials,Medium,https://learn.microsoft.com/aspnet/core/performance/caching/output
50,Performance,Add preconnect hints for external resources,Reduce DNS/TLS latency for third-party assets,<link rel="preconnect"> for CDN and font origins,No preconnect hints for external origins,<link rel="preconnect" href="https://fonts.googleapis.com" />,Loading Google Fonts without preconnect,Low,https://developer.mozilla.org/docs/Web/HTML/Attributes/rel/preconnect
51,Accessibility,Use semantic HTML with HTMX,HTMX attributes work on any element but use semantic ones,hx-get on <a> and hx-post on <form> or <button>,hx-get on <div> or <span> for clickable regions,<button hx-post="/Cart/Add">Add to Cart</button>,<div hx-post="/Cart/Add">Add to Cart</div>,High,https://htmx.org/essays/a-real-world-react-to-htmx-port/
52,Accessibility,Add aria-live for HTMX swap regions,Announce dynamic content changes to screen readers,aria-live="polite" on HTMX target containers,HTMX swaps with no ARIA announcement,<div id="results" aria-live="polite">,<div id="results"> without aria-live,High,https://developer.mozilla.org/docs/Web/Accessibility/ARIA/Attributes/aria-live
53,Accessibility,Manage focus after HTMX swaps,Move focus to new content so keyboard users are not lost,htmx:afterSwap event to focus new content,No focus management after content swap,htmx.on("htmx:afterSwap" (e) => e.target.focus()),Content swaps leave focus on old element,Medium,https://htmx.org/events/#htmx:afterSwap
54,Security,Send CSRF token with HTMX requests,ASP.NET Core rejects POST requests without anti-forgery tokens,Configure HTMX to send RequestVerificationToken header,Skip CSRF for HTMX thinking it is an API,"document.body.addEventListener(""htmx:configRequest"" ...)",hx-post without anti-forgery header,High,https://learn.microsoft.com/aspnet/core/security/anti-request-forgery
55,Security,Configure Content Security Policy,CSP prevents XSS by restricting script and style sources,Strict CSP header allowing only trusted origins,No CSP header in production,"Content-Security-Policy: default-src 'self'; script-src 'self'",No Content-Security-Policy header,High,https://developer.mozilla.org/docs/Web/HTTP/CSP